Name,Gender,English,Kiswahili,Mathematics,Biology,Chemistry,Physics,Geography,CRE,Careers
bryan,Female,7,8,12,8,12,11,7,7,Agriculture
Bryan,Female,6,8,6,10,9,7,6,6,Education
bryc,Female,8,8,7,11,12,8,12,9,Communications
bryde,Female,7,12,10,10,11,7,12,7,Law and public policy
brydo,Male,6,9,10,6,6,10,11,6,Engineering
brydon,Female,8,10,8,7,9,12,8,8,Law and public policy
bryha,Male,12,9,7,10,12,7,9,6,Business and management
Bryn,Male,12,10,10,7,12,7,11,12,Education
Bryna,Female,12,6,12,8,7,6,10,10,Health and medicine
brynin,Female,8,10,6,8,11,7,11,8,Computing
Bryn,Male,12,12,6,11,11,9,8,9,Agriculture
Brynn,Male,12,10,12,6,12,9,9,6,Health and medicine
Brynna,Female,12,11,7,12,12,9,9,11,Law and public policy
Brynne,Male,8,9,10,11,9,10,9,10,Engineering
bryso,Female,12,11,6,11,9,12,12,9,Business and management
bucha,Male,9,8,6,11,6,6,8,11,Art
buchana,Male,8,11,10,10,8,10,11,11,Health and medicine
buchanna,Female,10,12,8,6,11,8,11,10,Health and medicine
buc,Male,8,10,12,7,9,10,8,12,Communications
Buc,Female,11,7,8,6,7,6,12,8,Education
buckana,Male,11,10,11,9,6,12,12,12,Agriculture
buckenha,Male,6,10,6,8,11,6,12,10,Military and Security
buckl,Female,9,8,12,12,6,9,8,7,Law and public policy
buckle,Female,8,6,10,7,12,8,8,9,Communications
buckle,Male,11,8,11,8,7,7,12,7,Business and management
buckma,Male,6,12,7,6,9,6,11,7,Architecture & Construction Jobs
bucknel,Female,11,7,12,6,6,11,12,7,Military and Security
buckne,Female,8,8,6,11,10,9,10,12,Agriculture
buckso,Female,12,12,6,12,8,8,6,10,Business and management
budde,Female,12,9,8,6,9,11,12,9,Agriculture
buddico,Female,10,9,8,11,12,8,6,10,Art
buffha,Male,7,8,12,6,8,12,6,11,Computing
Buffy,Male,7,8,8,8,6,11,6,10,Communications
Bu,Female,6,10,8,10,11,8,9,8,Military and Security
buis,Male,8,7,9,8,8,9,11,8,Health and medicine
bulfor,Male,11,8,11,11,11,6,10,9,Engineering
bulkele,Male,10,10,11,8,10,11,9,10,Military and Security
bul,Male,9,7,6,7,9,7,12,10,Agriculture
bulle,Female,7,11,8,6,7,9,12,8,Business and management
bullimor,Female,11,12,10,9,6,7,6,11,Engineering
bullingto,Female,7,8,11,9,9,11,9,6,Education
bulloc,Male,10,11,8,10,9,11,7,11,Health and medicine
Bulloc,Female,11,9,8,7,8,6,10,11,Art
bult,Male,12,12,12,8,11,12,6,12,Art
bunc,Male,10,10,8,11,6,12,7,6,Art
bund,Female,6,8,6,7,12,11,9,8,Engineering
bunge,Female,9,12,11,12,10,11,8,6,Engineering
bun,Male,6,12,7,6,10,11,10,12,Business and management
Bunni,Female,12,11,12,10,6,12,11,11,Engineering
Bunnie,Male,9,9,8,12,10,12,12,12,Communications
bunn,Female,6,10,12,9,8,9,6,6,Health and medicine
Bunny,Female,12,9,11,12,10,9,7,9,Military and Security
bunya,Female,9,12,10,6,7,7,8,7,Architecture & Construction Jobs
burbridg,Female,8,12,7,11,7,6,11,6,Communications
burc,Male,9,9,8,10,7,7,6,10,Agriculture
burchal,Female,11,6,6,6,6,7,12,11,Engineering
burchel,Male,10,10,12,10,12,6,12,6,Communications
burch-reynardso,Female,6,8,6,12,10,6,12,7,Health and medicine
burdet,Female,6,9,9,7,9,10,8,11,Art
burdic,Female,11,6,8,9,7,8,11,8,Computing
burge,Male,11,9,12,9,8,11,6,8,Computing
burges,Female,11,10,11,6,7,12,10,9,Architecture & Construction Jobs
burg,Male,9,7,10,12,6,8,7,6,Military and Security
burghe,Male,6,8,9,9,10,8,11,9,Art
burg,Male,7,6,9,6,9,9,11,8,Communications
burgoyn,Female,7,9,11,6,11,8,7,6,Communications
buril,Female,9,12,9,8,8,10,12,7,Communications
bur,Male,11,11,11,9,10,10,11,6,Education
burk,Male,8,9,9,10,7,8,9,11,Engineering
burke-roch,Female,11,12,7,7,6,11,8,8,Art
burke,Female,8,10,10,7,7,11,8,10,Health and medicine
burkhalte,Male,10,6,9,8,10,8,9,9,Military and Security
burkinsha,Male,11,10,7,7,9,8,8,12,Military and Security
burk,Female,9,8,11,9,9,6,9,7,Business and management
burlan,Male,11,7,7,6,6,12,9,10,Art
burleig,Male,6,6,7,12,7,12,6,6,Agriculture
burlin,Male,10,10,9,10,12,9,11,10,Communications
burmeiste,Male,6,10,10,7,8,9,6,6,Business and management
bur,Female,12,11,7,6,11,8,12,8,Health and medicine
burnab,Female,12,8,11,8,7,6,7,7,Communications
burnan,Male,6,9,10,12,9,8,12,12,Agriculture
burn,Male,12,12,12,11,9,6,7,11,Agriculture
burnel,Female,7,12,7,8,7,12,7,7,Engineering
burne,Female,11,10,8,9,12,9,12,10,Health and medicine
burnet,Male,6,12,9,8,11,10,10,12,Engineering
Burnet,Female,10,7,8,6,9,9,6,12,Agriculture
burnle,Female,10,6,12,12,10,6,11,10,Art
burn,Female,9,6,9,10,7,7,10,10,Military and Security
Burn,Male,11,9,6,11,7,6,6,12,Health and medicine
burrel,Male,12,12,9,12,10,9,8,7,Communications
burridg,Female,8,11,9,8,8,6,8,12,Architecture & Construction Jobs
burrough,Male,9,6,8,7,12,7,7,12,Art
burro,Female,9,6,7,6,7,8,8,6,Health and medicine
burrowe,Female,10,9,10,8,11,6,6,12,Law and public policy
burrow,Female,9,6,9,12,9,6,10,6,Computing
bur,Female,10,7,10,12,12,9,7,7,Engineering
burto,Female,7,12,8,8,10,7,6,10,Architecture & Construction Jobs
burt or marryat,Male,8,11,6,9,8,7,7,8,Communications
burtwhistl,Female,6,8,9,10,7,8,12,11,Architecture & Construction Jobs
burwi,Male,11,11,11,11,12,6,11,9,Computing
bur,Female,9,9,12,11,7,6,7,12,Law and public policy
bus,Male,7,7,12,8,6,12,6,7,Education
bushb,Female,8,12,12,11,9,8,9,6,Health and medicine
bushel,Female,7,6,12,9,8,10,10,9,Communications
bushe,Female,10,9,8,9,11,12,10,12,Business and management
busk,Male,12,11,11,10,11,7,7,6,Business and management
bussier,Male,12,6,11,8,8,11,6,8,Business and management
buss,Female,12,10,6,8,8,11,10,10,Education
bus,Female,8,9,8,6,7,10,10,7,Engineering
busto,Male,11,11,12,6,9,7,6,11,Computing
Busto,Female,7,10,9,11,9,7,7,9,Business and management
butchar,Female,11,7,12,7,7,10,6,10,Communications
butle,Female,12,11,10,9,7,6,6,12,Art
butlin,Male,9,7,8,11,10,6,7,6,Health and medicine
buttensha,Male,6,10,9,9,9,9,9,7,Military and Security
buttere,Male,9,11,8,8,11,9,7,6,Engineering
butter,Male,7,6,9,12,7,7,8,10,Communications
butterwort,Male,12,11,12,10,6,7,12,8,Art
butter,Female,6,7,7,11,8,11,7,6,Architecture & Construction Jobs
buttime,Male,6,6,8,9,9,10,11,7,Law and public policy
buxto,Male,8,12,11,9,6,9,6,12,Health and medicine
bycraf,Female,11,7,9,9,8,12,12,7,Law and public policy
by,Female,11,9,6,6,11,10,11,10,Engineering
byer,Female,9,11,10,6,8,6,6,8,Communications
byford mai,Male,8,12,7,10,6,11,8,11,Business and management
byn,Female,10,6,7,8,10,7,9,9,Architecture & Construction Jobs
byre,Male,8,10,8,9,12,12,11,11,Business and management
byrn,Male,7,8,11,10,11,6,9,10,Law and public policy
byro,Female,6,6,9,7,11,6,7,12,Art
byro,Female,6,12,12,9,7,9,8,10,Architecture & Construction Jobs
cabanis,Male,11,10,10,8,12,7,9,8,Health and medicine
Cacilia,Male,8,12,10,9,8,10,11,8,Architecture & Construction Jobs
Cacilie,Female,6,9,10,10,10,10,11,12,Agriculture
cadel,Female,9,12,11,7,11,7,6,6,Education
cadma,Male,12,11,8,11,7,8,12,8,Law and public policy
cadoga,Male,7,8,8,7,7,8,7,7,Computing
cad,Male,12,9,9,11,12,8,6,10,Business and management
caesa,Male,10,7,9,9,9,8,12,8,Law and public policy
cafferd,Female,10,8,8,9,7,10,6,8,Health and medicine
cag,Female,10,9,8,10,9,12,10,7,Communications
cagl,Female,9,8,11,12,12,8,10,8,Architecture & Construction Jobs
Cahra,Male,7,12,11,6,9,7,12,8,Education
cai,Female,9,7,10,8,6,9,10,9,Architecture & Construction Jobs
Cairistiona,Male,11,8,6,11,12,10,8,8,Computing
cairne,Male,11,11,12,8,10,7,10,6,Health and medicine
cairn,Male,10,9,12,10,7,11,9,11,Health and medicine
caitli,Female,6,6,6,12,12,11,10,8,Art
Caitlin,Female,12,10,6,6,11,10,7,6,Agriculture
Caitrin,Female,10,7,11,8,6,6,8,6,Business and management
Cal,Female,7,12,8,8,7,11,8,6,Military and Security
calcut,Female,11,10,8,7,12,6,6,6,Education
calde,Female,10,12,7,8,8,9,6,7,Art
caldwel,Male,12,8,9,12,10,8,8,12,Engineering
Caldwel,Female,9,6,6,8,11,11,9,7,Military and Security
Cale,Male,7,11,8,9,11,6,9,8,Education
cale,Female,11,9,8,9,10,12,12,7,Architecture & Construction Jobs
calhou,Female,10,11,9,11,8,8,10,12,Communications
Calida,Female,12,8,12,10,12,11,6,11,Engineering
calki,Male,10,10,11,10,10,7,11,8,Art
Calla,Female,10,11,6,7,7,6,8,11,Art
callagha,Female,8,11,10,10,6,12,7,10,Military and Security
calla,Male,10,10,7,8,9,7,12,11,Agriculture
calla,Male,10,6,6,7,9,9,7,10,Health and medicine
callande,Female,7,11,8,10,12,11,10,8,Engineering
callej,Female,9,9,9,9,9,11,7,11,Engineering
callende,Female,10,12,7,11,6,8,9,12,Education
Calley,Male,11,10,9,9,6,11,8,8,Law and public policy
Calli,Male,6,8,8,10,12,11,9,12,Health and medicine
Callida,Male,11,11,11,8,10,6,7,8,Agriculture
Callie,Male,8,12,12,11,12,11,7,6,Engineering
callowa,Male,12,10,6,9,7,9,10,10,Communications
Cally,Female,11,12,10,12,7,8,7,9,Engineering
calve,Male,9,8,10,11,8,12,11,8,Communications
calverle,Female,10,6,8,9,7,11,9,11,Military and Security
calverl,Female,6,12,6,7,10,12,7,8,Law and public policy
calver,Female,6,8,9,10,7,9,11,10,Communications
calwa,Female,12,6,6,6,12,8,6,12,Education
Calypso,Female,9,11,9,9,9,12,9,8,Health and medicine
Cam,Female,7,9,7,9,10,8,7,11,Computing
Camach,Male,11,12,11,7,8,10,10,6,Education
Camala,Female,9,9,10,11,12,8,9,7,Military and Security
Camel,Female,12,11,12,7,12,10,8,7,Computing
Camella,Male,6,8,7,6,6,8,6,7,Architecture & Construction Jobs
Camellia,Male,10,8,8,10,10,8,7,10,Engineering
camero,Female,6,10,9,6,12,7,10,8,Education
Camero,Male,6,6,9,7,10,12,11,9,Architecture & Construction Jobs
Cami,Female,12,12,9,9,8,11,10,8,Architecture & Construction Jobs
Camila,Female,11,7,6,7,11,12,7,12,Computing
Camile,Male,10,10,11,7,9,8,10,9,Communications
Camill,Male,10,7,11,6,8,12,11,12,Business and management
Camilla,Male,8,10,7,9,11,8,10,9,Health and medicine
Camill,Female,7,8,10,7,7,11,7,11,Business and management
Camille,Male,9,12,11,6,8,6,7,6,Business and management
Cammi,Male,6,10,12,6,10,9,12,9,Engineering
Cammie,Female,9,6,12,6,9,9,11,10,Engineering
Cammy,Female,12,8,12,6,8,6,7,11,Architecture & Construction Jobs
camott,Female,9,8,6,7,9,6,11,10,Engineering
campbel,Female,12,8,10,9,7,9,10,9,Law and public policy
Campbel,Female,10,12,12,10,6,9,8,6,Communications
campi,Female,8,10,6,11,11,11,11,9,Computing
campli,Female,9,8,10,6,10,7,6,8,Architecture & Construction Jobs
Campo,Female,10,7,10,10,9,9,12,6,Engineering
camp,Male,12,8,11,8,9,10,9,11,Law and public policy
camp,Male,8,9,6,11,8,10,7,12,Military and Security
Camre,Male,6,8,6,11,9,11,9,9,Art
Camry,Female,12,8,10,11,10,9,12,11,Communications
Candace,Male,6,11,6,6,7,6,8,11,Agriculture
Candi,Female,8,12,12,12,11,11,11,7,Engineering
Candice,Male,7,11,7,7,10,12,7,9,Agriculture
Candida,Female,7,6,9,6,7,10,9,8,Law and public policy
Candide,Female,7,6,10,6,7,12,6,6,Architecture & Construction Jobs
Candie,Male,6,10,8,7,6,7,12,9,Business and management
Candis,Male,10,11,12,8,7,8,6,6,Health and medicine
Candra,Male,11,9,6,12,9,12,8,12,Military and Security
Candy,Female,9,10,8,10,8,10,10,8,Military and Security
can,Male,8,9,10,12,12,7,11,8,Agriculture
cannada,Female,11,11,9,9,8,7,9,7,Engineering
canno,Male,8,7,8,8,11,7,10,9,Agriculture
Canno,Female,9,12,6,8,9,8,8,9,Health and medicine
cantacuzen,Male,10,6,11,12,9,10,8,11,Communications
Cantrel,Male,6,12,7,6,7,9,8,10,Military and Security
Cant,Female,7,6,10,11,12,11,11,12,Communications
cantwel,Female,8,12,10,10,7,10,11,11,Engineering
cap,Female,9,11,10,7,7,10,11,11,Computing
cape,Female,9,10,8,6,12,11,8,9,Computing
capo,Male,8,8,7,12,9,7,12,6,Architecture & Construction Jobs
capplema,Male,10,10,7,7,6,6,8,10,Law and public policy
Caprice,Female,7,12,9,9,7,10,9,7,Communications
capstac,Female,6,12,10,9,12,11,6,7,Communications
capstic,Male,12,9,10,9,12,6,9,10,Communications
Cara,Female,7,9,7,6,6,7,11,10,Law and public policy
Caralie,Male,9,7,12,10,7,11,7,9,Architecture & Construction Jobs
carde,Female,9,8,9,8,7,8,12,12,Engineering
Cardena,Female,10,10,6,10,10,11,7,9,Health and medicine
cardis,Female,7,11,8,8,11,9,7,10,Law and public policy
cardn,Female,12,12,12,8,10,11,8,6,Architecture & Construction Jobs
cardo,Female,7,6,8,6,9,10,12,12,Business and management
cardu,Female,10,10,12,10,8,6,11,12,Engineering
careles,Female,12,12,7,10,8,10,7,12,Business and management
carelto,Female,8,6,6,11,7,12,10,11,Computing
Care,Male,8,8,7,11,6,7,9,12,Education
Caren,Female,7,7,11,10,9,9,6,7,Agriculture
Carena,Male,8,10,6,6,7,9,12,11,Business and management
Caresa,Male,10,9,7,12,11,6,7,6,Law and public policy
Caressa,Male,9,6,6,7,8,9,10,8,Military and Security
Caresse,Male,7,12,9,12,10,8,9,8,Architecture & Construction Jobs
care,Female,9,7,10,10,6,9,6,11,Agriculture
care,Female,12,12,8,12,10,12,11,8,Art
Carey,Female,12,7,7,6,7,10,11,12,Architecture & Construction Jobs
cargil,Female,6,7,6,9,8,9,9,7,Art
Cari,Female,10,7,9,7,10,6,6,9,Computing
Caria,Male,10,11,7,12,11,11,12,10,Art
Carie,Male,8,12,9,8,6,7,8,12,Engineering
Caril,Male,11,9,6,12,6,6,8,7,Agriculture
Carilyn,Female,7,7,6,7,6,6,9,11,Business and management
Carin,Male,12,10,7,7,12,9,12,9,Art
Carina,Female,9,6,10,7,6,11,8,8,Communications
Carine,Female,10,11,6,10,12,7,11,6,Law and public policy
Cariotta,Female,10,8,6,7,12,10,7,12,Education
Carissa,Female,8,12,10,9,12,12,9,12,Business and management
Carita,Male,10,6,6,11,8,10,7,9,Law and public policy
Caritta,Female,10,7,9,12,10,9,10,10,Architecture & Construction Jobs
car,Male,9,12,10,8,8,12,11,12,Health and medicine
Car,Female,9,11,8,7,7,7,11,11,Engineering
Carl,Female,6,8,8,10,12,12,6,11,Communications
Carla,Male,10,12,12,11,7,7,10,12,Art
Carle,Male,10,10,9,11,6,8,10,10,Business and management
Carlee,Male,11,6,9,9,7,6,7,8,Architecture & Construction Jobs
Carleen,Male,11,6,12,11,8,12,10,7,Architecture & Construction Jobs
Carlen,Male,12,10,11,11,9,6,10,7,Communications
Carlene,Male,10,10,7,8,11,12,6,12,Agriculture
carle,Male,12,8,9,6,6,11,10,6,Health and medicine
Carle,Male,12,7,9,6,8,7,7,8,Computing
Carley,Female,11,8,6,8,12,6,12,6,Engineering
Carlie,Female,9,12,10,6,9,11,8,6,Communications
carlil,Female,8,11,8,12,9,8,12,6,Education
Carlin,Female,8,10,12,7,12,11,9,12,Agriculture
Carlina,Female,11,12,7,12,6,11,8,8,Communications
Carline,Male,12,11,7,12,6,6,12,7,Law and public policy
Carlita,Male,12,7,9,7,9,7,8,11,Engineering
Carl,Male,11,6,7,6,7,8,7,11,Architecture & Construction Jobs
Carlo,Male,7,9,8,8,9,8,6,10,Architecture & Construction Jobs
carlos,Female,8,9,10,8,6,10,8,6,Education
Carlota,Female,6,6,6,8,11,9,10,6,Education
Carlotta,Male,9,7,11,11,7,10,9,8,Art
Carlso,Female,7,12,7,12,11,8,9,12,Military and Security
carlstran,Female,12,9,6,12,10,9,12,7,Engineering
carlstro,Male,8,6,9,6,7,6,12,10,Education
carlto,Male,6,8,9,6,8,11,6,7,Military and Security
Carly,Male,12,6,12,6,6,9,11,8,Business and management
Carlye,Male,10,12,10,7,10,9,12,7,Art
carlyl,Male,10,9,8,6,8,11,8,8,Art
Carlyn,Female,8,6,7,12,9,9,11,8,Agriculture
Carlynn,Female,10,9,7,7,6,10,12,9,Communications
Carlynne,Male,7,9,6,12,10,9,10,12,Art
Carma,Female,12,7,6,9,6,11,6,11,Health and medicine
Carmel,Female,11,11,7,7,7,6,10,12,Architecture & Construction Jobs
Carmela,Female,12,11,10,10,7,11,11,7,Computing
Carmeli,Male,7,8,12,12,9,6,7,9,Communications
Carmelia,Male,8,8,8,6,11,6,12,10,Business and management
Carmelina,Male,9,12,7,8,11,8,12,12,Health and medicine
Carmelita,Female,11,6,12,6,10,12,10,9,Agriculture
Carmella,Male,11,6,7,8,12,7,6,7,Communications
Carmelle,Female,12,8,9,9,6,6,7,11,Education
Carmel,Male,11,8,7,8,9,9,8,12,Architecture & Construction Jobs
carme,Male,10,12,7,7,7,9,11,12,Communications
Carmen,Female,11,10,11,10,11,10,7,9,Health and medicine
Carmencita,Male,10,8,8,6,11,9,6,11,Health and medicine
carmichae,Male,9,9,12,10,7,9,6,6,Law and public policy
Carmina,Female,12,9,6,10,10,10,6,9,Engineering
Carmine,Male,12,7,8,6,11,7,12,7,Health and medicine
Carmita,Male,12,12,12,10,12,10,8,11,Health and medicine
Carmon,Male,8,10,11,9,9,9,11,7,Computing
carn,Female,8,12,11,11,7,7,7,9,Military and Security
carnagha,Female,12,11,7,8,7,11,9,8,Law and public policy
carna,Female,6,12,10,6,9,11,6,11,Computing
carne,Male,7,8,9,11,11,11,10,11,Engineering
Carne,Female,6,12,12,6,10,12,8,10,Military and Security
carnocha,Female,7,8,7,10,8,7,12,9,Engineering
carno,Male,6,11,9,10,12,10,11,11,Military and Security
Caro,Female,9,8,7,6,10,8,10,12,Art
Carol,Female,7,8,8,9,6,9,6,10,Communications
Carola,Female,7,9,12,8,9,11,12,12,Business and management
Carolan,Female,9,8,10,12,7,12,6,12,Communications
Carolann,Female,9,8,8,11,12,12,8,9,Computing
Carole,Male,11,11,8,11,11,6,11,6,Health and medicine
Carolee,Female,11,8,10,10,7,11,11,12,Architecture & Construction Jobs
carolfield or cauffiel,Male,12,11,8,12,9,7,11,8,Education
Carolin,Female,6,11,9,11,6,7,12,12,Agriculture
Carolin,Female,7,8,11,6,9,8,7,8,Business and management
Carolina,Male,10,12,9,9,10,7,7,7,Education
Caroline,Male,7,7,10,10,12,8,9,8,Education
Caroljean,Male,9,9,9,10,11,9,11,12,Law and public policy
Carol-Jean,Male,9,7,7,12,11,7,11,9,Art
Caroly,Male,9,12,6,8,12,12,10,11,Military and Security
Carolyn,Male,11,12,11,11,8,6,8,12,Computing
Carolyne,Male,10,7,8,6,10,12,11,8,Education
Carolynn,Male,9,10,12,6,8,11,10,9,Business and management
Caron,Male,8,7,11,8,11,11,6,10,Engineering
carpente,Male,6,6,6,12,9,12,9,7,Military and Security
car,Male,12,9,8,9,7,9,10,11,Computing
carradic,Male,6,10,11,9,10,11,6,8,Communications
Carree,Male,11,7,11,9,7,11,9,9,Military and Security
Carri,Male,11,6,6,11,9,8,10,12,Education
carric,Female,6,10,7,6,8,8,7,7,Business and management
carri,Female,11,9,11,11,9,10,7,7,Military and Security
Carrie,Male,6,11,10,9,8,6,9,8,Computing
carrie,Female,8,8,9,8,9,6,10,7,Health and medicine
Carrill,Male,8,10,7,7,11,12,12,8,Education
Carrissa,Female,7,12,6,11,9,10,7,10,Education
carrol,Female,11,12,9,7,12,9,11,9,Law and public policy
Carroll,Male,7,6,8,9,7,11,11,11,Engineering
carruther,Male,12,6,10,9,8,7,11,7,Education
carruthers,Male,8,6,10,10,6,12,8,12,Computing
Carry,Male,6,11,8,10,6,11,7,12,Computing
carso,Female,11,6,6,7,11,12,7,7,Communications
Carso,Male,6,8,9,9,11,12,12,6,Art
carte,Female,7,8,8,9,7,8,8,10,Business and management
cartere,Male,7,8,11,6,9,6,12,7,Law and public policy
carthorp,Male,9,7,10,7,6,12,11,7,Business and management
cartme,Male,11,12,11,8,9,11,7,8,Architecture & Construction Jobs
cartwrigh,Male,7,7,7,10,7,7,8,8,Computing
carut,Male,8,12,8,11,10,12,10,11,Education
Cary,Male,11,9,9,9,9,9,8,7,Engineering
Caryl,Male,9,12,9,11,7,7,8,8,Law and public policy
Caryn,Female,8,11,7,12,7,8,6,10,Agriculture
Casandra,Male,6,6,9,8,6,8,11,10,Art
cas,Male,12,12,8,8,9,10,6,6,Law and public policy
Cas,Male,8,8,12,12,10,6,12,6,Engineering
casemen,Male,7,9,11,9,10,12,8,11,Architecture & Construction Jobs
case,Male,8,11,7,7,11,11,12,11,Law and public policy
Case,Female,7,7,11,10,7,7,9,6,Engineering
Casey,Male,8,6,6,8,10,8,9,9,Engineering
cas,Female,6,12,10,8,8,6,11,10,Law and public policy
Casi,Female,8,12,12,9,12,6,12,6,Agriculture
Casie,Male,12,11,12,6,12,7,6,11,Architecture & Construction Jobs
Cass,Female,11,7,12,9,6,11,9,8,Architecture & Construction Jobs
Cassandra,Male,11,8,6,10,8,12,10,11,Health and medicine
Cassandre,Male,10,11,10,8,8,8,8,8,Engineering
Cassandry,Male,6,6,11,6,10,11,8,8,Engineering
Cassaundra,Male,11,6,7,12,12,11,8,7,Computing
cassel,Male,10,6,11,11,10,12,11,6,Health and medicine
cassell,Female,12,12,12,12,10,8,7,6,Health and medicine
Cassey,Female,10,12,12,9,9,11,10,7,Health and medicine
Cassi,Female,11,10,11,10,11,9,12,8,Engineering
Cassie,Female,12,8,7,6,12,6,11,11,Art
casso,Male,7,11,12,9,11,12,7,10,Agriculture
Cassondra,Female,9,11,7,6,9,10,6,7,Business and management
Cassy,Female,6,11,8,11,11,7,8,10,Business and management
Castaned,Male,11,11,12,10,7,8,11,9,Law and public policy
casteltow,Female,6,8,7,7,10,9,7,7,Computing
castil,Female,6,7,7,7,9,9,11,9,Military and Security
Castill,Male,8,7,10,9,8,12,8,7,Communications
castl,Female,12,9,7,6,10,12,10,9,Computing
Castr,Female,12,6,11,9,11,7,9,6,Engineering
caswal,Female,8,8,8,9,12,7,9,11,Art
Catalin,Female,8,9,10,11,12,6,12,8,Education
Catarina,Female,8,12,10,7,9,9,6,12,Communications
Cate,Female,9,10,12,7,12,7,9,6,Business and management
Caterina,Female,6,8,10,12,12,10,11,12,Military and Security
catesb,Male,7,12,6,10,9,11,9,11,Engineering
Catha,Female,6,12,10,9,7,11,9,12,Architecture & Construction Jobs
catharin,Female,10,8,7,11,10,6,7,12,Communications
Catharina,Male,6,10,7,8,12,10,10,11,Engineering
Catharine,Male,9,10,6,12,6,10,10,7,Architecture & Construction Jobs
Cathe,Male,9,6,12,6,6,12,8,11,Health and medicine
Cathee,Female,11,12,6,6,12,9,10,9,Law and public policy
Catherin,Male,7,11,12,10,8,10,9,11,Law and public policy
Catherina,Female,10,10,10,9,12,8,8,11,Law and public policy
Catherine,Female,12,8,9,8,6,6,6,12,Law and public policy
catherwoo,Female,10,7,8,10,12,10,6,6,Communications
Cathi,Female,11,6,6,8,7,10,10,7,Computing
cathi,Male,10,9,12,10,10,10,10,8,Law and public policy
Cathie,Female,6,9,10,10,11,7,11,10,Architecture & Construction Jobs
Cathleen,Male,11,12,10,10,12,10,11,11,Business and management
Cathlene,Female,11,7,7,11,8,10,9,12,Education
Cathrin,Female,7,6,11,11,10,7,6,9,Military and Security
Cathrine,Male,9,7,8,6,7,11,9,9,Art
Cathryn,Female,9,6,9,9,11,8,10,10,Art
Cathy,Male,6,12,8,6,10,6,11,12,Education
Cathyleen,Male,7,11,9,7,11,8,9,12,Agriculture
Cati,Female,11,9,6,9,6,9,12,7,Military and Security
Catie,Female,8,10,9,10,12,10,8,10,Computing
Catina,Female,6,12,10,7,7,12,8,11,Agriculture
Catlaina,Female,12,8,10,8,10,7,10,6,Communications
Catlee,Female,10,10,12,8,8,11,6,12,Architecture & Construction Jobs
Catlin,Female,11,11,11,10,9,10,9,7,Architecture & Construction Jobs
cato,Male,8,12,9,8,7,9,6,7,Business and management
Catrina,Female,8,7,10,11,8,6,7,12,Communications
Catriona,Female,7,12,6,11,7,11,6,12,Engineering
catro,Female,11,6,12,11,10,10,8,12,Communications
cattanac,Male,12,10,6,7,6,9,11,12,Agriculture
catteral,Male,7,7,6,10,10,11,12,9,Education
cattermou,Female,8,6,11,9,7,11,11,6,Military and Security
Caty,Male,12,6,9,7,9,10,7,6,Art
caulfiel,Female,6,8,8,7,9,10,7,12,Art
cauthere,Female,10,6,10,9,6,12,6,8,Art
cautle,Female,10,9,8,9,12,6,12,7,Agriculture
cav,Male,10,8,9,6,9,12,10,10,Military and Security
cave,Female,12,6,9,11,12,11,7,8,Agriculture
cavende,Female,8,12,11,10,10,9,8,6,Health and medicine
cavendis,Female,12,10,6,7,11,7,12,8,Law and public policy
cavendish-bentin,Female,6,12,11,10,9,12,12,10,Health and medicine
caver,Female,7,6,11,12,10,7,10,7,Health and medicine
cavil,Male,7,9,8,7,7,10,7,8,Architecture & Construction Jobs
cawkwel,Male,11,10,9,6,6,9,10,8,Education
cawle,Female,8,11,7,8,9,8,12,9,Engineering
cawod,Female,9,7,12,12,10,10,10,10,Computing
Caye,Female,7,12,7,8,12,8,11,12,Engineering
Cayla,Male,7,9,7,8,10,10,8,10,Engineering
cayle,Male,9,7,9,11,11,7,6,11,Law and public policy
cazale,Female,6,7,6,11,8,9,7,8,Health and medicine
cb,Male,7,11,11,9,12,6,6,6,Architecture & Construction Jobs
Ceceli,Male,9,7,11,10,7,11,10,9,Computing
Cecelia,Female,6,12,9,8,11,12,12,9,Education
ceci,Female,11,8,12,6,9,12,6,10,Agriculture
Cecil,Male,8,7,12,7,8,9,11,6,Engineering
Cecile,Female,7,11,12,11,7,7,10,9,Computing
Ceciley,Female,9,11,9,10,8,11,10,9,Computing
Cecilia,Male,12,10,6,10,11,12,10,10,Business and management
Cecilla,Female,9,11,8,8,8,6,8,7,Agriculture
Cecily,Female,6,12,9,8,6,8,7,8,Health and medicine
Cedri,Female,12,10,9,7,11,9,7,7,Architecture & Construction Jobs
ceel,Female,12,9,9,11,9,12,11,10,Business and management
Ceil,Male,6,9,12,7,11,8,8,11,Health and medicine
Cele,Male,10,9,11,10,12,6,10,8,Military and Security
Celene,Female,12,8,8,11,7,6,7,9,Architecture & Construction Jobs
Celesta,Male,11,6,10,6,9,6,10,8,Communications
Celest,Female,11,9,9,8,8,6,10,12,Architecture & Construction Jobs
Celeste,Female,11,7,9,8,7,7,9,7,Education
celesti,Male,8,6,7,7,7,9,6,11,Architecture & Construction Jobs
Celestia,Male,12,11,12,6,6,12,12,10,Agriculture
Celestina,Male,7,9,12,12,8,9,8,7,Art
Celestine,Male,10,6,8,8,10,8,6,9,Business and management
Celestyn,Female,9,9,8,11,7,10,9,10,Art
Celestyna,Male,8,12,6,10,6,12,9,10,Architecture & Construction Jobs
Celi,Female,10,6,7,9,12,9,11,9,Agriculture
Celia,Female,7,11,11,10,6,11,12,7,Business and management
